image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
1646467799520.png,0.9831068515777588,0.8295481262049185,0.906833894471716,0.8809107704598792,0.9343289905730325,0.906833894471716,20027,18882,1,0
1646467799520.png,0.9732452630996704,0.214756061059563,0.35357890846371814,0.21553018924601983,0.9835503769705277,0.3535789084637181,13316,2918,0,1
1646467817169.png,0.9866459369659424,0.6602380269572699,0.7953534568381051,0.6690156193243734,0.980515332197615,0.7953534568381051,27530,18784,1,0
1646467817169.png,0.9597693681716919,0.6028758645795413,0.7522427380709046,0.6158566062995054,0.9662193698949825,0.7522427380709045,26891,17140,1,0
1646467843376.png,0.9791918396949768,0.545782541684181,0.7061569489451381,0.5549382056487516,0.9706578619486669,0.7061569489451381,28077,16052,1,0
1646467843376.png,0.8875797986984253,0.5884009942004971,0.7408721051533487,0.5960553923625682,0.9786413118368472,0.7408721051533487,23830,14514,1,0
1646467843376.png,0.8007936477661133,0,0.0,0.0,0,0,40008,0,0,1
LEFT_POST_LOWER_TRANS-13_31_29.jpeg,0.9939879179000854,0.4943324305346574,0.661609720077868,0.9432983112850398,0.5094710240652461,0.661609720077868,47018,87055,0,1
LEFT_POST_LOWER_TRANS-13_31_29.jpeg,0.9861582517623901,0.27728944373897124,0.43418419387741924,0.49564461214202543,0.38628453276664176,0.4341841938774192,67847,87055,0,1
LEFT_UPPER_POST_TRANS-13_31_2.jpeg,0.9770433306694031,0.7786431031900554,0.875547322330751,0.8235713437091601,0.9345256819305262,0.8755473223307512,25251,22253,1,0
LT_ANT_LOWER_LONG-13_18_18.jpeg,0.9952725768089294,0.5191161318810715,0.6834449598507878,0.9705715415971518,0.5274176815305675,0.6834449598507879,58141,106993,1,0
LT_ANT_LOWER_LONG-13_18_18.jpeg,0.926297664642334,0,0.0,0.0,0,0,101994,0,0,1
LT_ANT_LOWER_LONG-20_14_28.png,0.9878217577934265,0.8512235616833899,0.9196334568141938,0.9143211599596806,0.925007844367744,0.9196334568141938,12897,12748,1,0
LT_ANT_LOWER_TRANS-16_16_55.jpeg,0.9954847097396851,0.9108302093810002,0.9533345295771278,0.9398542349694554,0.9672071459779601,0.9533345295771278,42397,41198,1,0
LT_ANT_LOWER_TRANS-16_16_55.jpeg,0.9889953136444092,0,0.0,0.0,0,0,40978,0,0,1
LT_ANT_UPPER_LONG-13_17_26.jpeg,0.9958621263504028,0.8287554561907804,0.906360064037258,0.8350675820639348,0.9909617465470053,0.9063600640372581,55932,47133,1,0
LT_ANT_UPPER_LONG-13_17_26.jpeg,0.9815218448638916,0,0.0,0.0,0,0,59901,0,0,1
LT_ANT_UPPER_LONG-15_56_43.png,0.9763655662536621,0.7131015361982629,0.8325268772810596,0.741113169268766,0.9496646823901741,0.8325268772810597,34011,26542,1,0
LT_ANT_UPPER_LONG-20_13_47.png,0.9939631819725037,0.7600936590305025,0.8636968324164959,0.7615394369769212,0.9975085125820115,0.8636968324164959,47316,36123,1,0
LT_ANT_UPPER_LONG-20_13_47.png,0.9617789387702942,0.8738849046702816,0.9326985904975263,0.9493887375688858,0.9165851272015656,0.9326985904975263,15787,16352,1,0
LT_ANT_UPPER_LONG-20_26_45.png,0.9829586148262024,0.5992722141769707,0.7494311585790574,0.6888471552349652,0.8216995061351255,0.7494311585790573,23429,19641,1,0
LT_ANT_UPPER_TRANS-14_1_27.jpeg,0.984560489654541,0.7783216474842352,0.8753440622907729,0.8200910696031968,0.938580164849774,0.8753440622907729,43044,37610,1,0
LT_ANT_UPPER_TRANS-14_1_27.jpeg,0.5694075226783752,0,0.0,0.0,0,0,30499,0,0,1
LT_ANT_UPPER_TRANS-20_14_15.png,0.9759125113487244,0.6829019073569482,0.8115766039263307,0.7312180889861415,0.9117780809458845,0.8115766039263307,10968,8796,1,0
LT_ANT_UPPER_TRANS-20_14_15.png,0.8033139705657959,0,0.0,0.0,0,0,36664,0,0,1
LT_ANT_UPPER_YTRANS-13_17_41.jpeg,0.9940106272697449,0.5848201267198643,0.738027132366471,0.7045897345811108,0.7747962910930036,0.7380271323664709,31309,28472,1,0
LT_LAT_LOWER_LONG-15_58_26.png,0.993908166885376,0.7739983819339407,0.8726032558047311,0.7751981680465034,0.9980043541364296,0.872603255804731,28385,22048,1,0
LT_LAT_LOWER_TRANS-15_58_36.png,0.9224560856819153,0.528765763082117,0.6917551084033723,0.5567264667753942,0.9132567312639341,0.6917551084033723,47826,29155,1,0
LT_LAT_UPPER_TRANS-14_2_44.jpeg,0.9982718229293823,0.9283754322658246,0.9628575605477316,0.9530580744742427,0.9728606597735105,0.9628575605477315,51830,50775,1,0
LT_LAT_UPPER_TRANS-14_2_44.jpeg,0.9925068020820618,0,0.0,0.0,0,0,26479,0,0,1
LT_LAT_UPPER_TRANS-20_28_11.png,0.9641340970993042,0.7610303179689426,0.8643012107215341,0.9147696410053825,0.8191103643438273,0.8643012107215341,20251,22616,1,0
LT_LAT_UPPER_TRANS-20_28_11.png,0.8074299693107605,0,0.0,0.0,0,0,11308,0,0,1
LT_POST_LOWER_LONG-20_26_1.png,0.9920294284820557,0.8561853339362183,0.9225213865046499,0.8978077759803648,0.9486340730262576,0.9225213865046498,35854,33933,1,0
LT_POST_LOWER_LONG-20_26_1.png,0.9881360530853271,0.2977755561109723,0.45890147138124954,0.30578512396694213,0.9191482795864836,0.4589014713812495,19481,6481,0,1
LT_POST_LOWER_LONG-20_26_1.png,0.7023100256919861,0.6151082828697526,0.7616929334011184,0.9578072558734217,0.6322396877307733,0.7616929334011184,6257,9479,1,0
LT_POST_LOWER_TRANS-13_17_0.jpeg,0.9758317470550537,0.8279404174790687,0.9058724338738456,0.8365757909375362,0.9876860981178543,0.9058724338738455,138064,116941,1,0
LT_POST_LOWER_TRANS-13_17_0.jpeg,0.8427349328994751,0,0.0,0.0,0,0,77400,0,0,1
LT_POST_LOWER_TRANS-15_56_32.png,0.7656846046447754,0.6715799771726725,0.8035271854698687,0.701573891122164,0.9401506505364072,0.8035271854698687,29354,21905,1,0
LT_POST_LOWER_TRANS-15_56_32.png,0.5208919644355774,0,0.0,0.0,0,0,11001,0,0,1
