image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
RT_ANT_UPPER_LONG-13_57_21.jpeg,0.9937857389450073,0.8556090811254036,0.9221867793473908,0.9537833128624068,0.8926165526090676,0.9221867793473908,35009,37408,1,0
RT_ANT_UPPER_LONG-13_57_21.jpeg,0.9771560430526733,0.8188524354889635,0.9004055738791484,0.8969940887938624,0.9038431074359218,0.9004055738791485,31804,31563,1,0
RT_ANT_UPPER_LONG-20_23_52.png,0.8471919298171997,0.4174727779184604,0.5890381592110905,0.4394860311367029,0.8928726169844021,0.5890381592110905,18756,9232,0,1
RT_ANT_UPPER_LONG-20_23_52.png,0.8066262602806091,0,0.0,0.0,0,0,15575,0,0,1
RT_ANT_UPPER_LONG-20_23_52.png,0.6922479271888733,0.16792411687745312,0.2875599783424507,0.1737237474339597,0.8341637781629117,0.2875599783424507,44329,9232,0,1
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9710078835487366,0,0.0,0.0,0,0,53536,0,0,1
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9401947259902954,0.687019606785512,0.8144773232299011,0.7514675949143043,0.8890207300900398,0.8144773232299011,33899,28654,1,0
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9220600128173828,0.8008756974581525,0.8894291800245283,0.9143956821801451,0.8657898043815189,0.8894291800245283,22604,23873,1,0
RT_ANT_UPPER_TRANS-20_24_0.png,0.9809598922729492,0.7519603977745652,0.8584216843368674,0.9381319341968629,0.7911961281401244,0.8584216843368674,18297,21695,1,0
RT_LAT_LOWER_TRANS-12_59_5.jpeg,0.9800810813903809,0.8201863701229096,0.9012114183313281,0.8856067599233118,0.9173758578332217,0.9012114183313281,140830,135953,1,0
RT_LAT_LOWER_TRANS-16_15_15.jpeg,0.9940599799156189,0.8371194153094749,0.9113391414117264,0.8526690646194592,0.978679702583905,0.9113391414117266,55881,48686,1,0
RT_LAT_LOWER_TRANS-16_15_15.jpeg,0.9860708117485046,0,0.0,0.0,0,0,46595,0,0,1
RT_LAT_UPPER_LONG-12_57_55.jpeg,0.992404043674469,0.6825827525012217,0.8113511819689547,0.692340802963504,0.9797692662667282,0.8113511819689546,76666,54175,1,0
RT_LAT_UPPER_LONG-12_57_55.jpeg,0.9242825508117676,0,0.0,0.0,0,0,39778,0,0,1
RT_LAT_UPPER_LONG-13_59_57.jpeg,0.9949997663497925,0.8618954576107067,0.9258258341923681,0.9671323244082266,0.8879032401717166,0.9258258341923681,51540,56139,1,0
RT_LAT_UPPER_LONG-13_59_57.jpeg,0.9894930124282837,0.8635275075561134,0.926766580106531,0.9061508864971664,0.9483421606326634,0.926766580106531,57699,55132,1,0
RT_LAT_UPPER_LONG-20_11_12.png,0.9934998750686646,0.847403273499646,0.9173993417196447,0.8662352590574312,0.9749868225597776,0.9173993417196448,23489,20869,1,0
RT_LAT_UPPER_TRANS-12_58_13.jpeg,0.9911637306213379,0.5174373482212152,0.6819884179439376,0.5299894863707465,0.9562320718053113,0.6819884179439375,38997,21614,1,0
RT_LAT_UPPER_TRANS-20_24_43.png,0.9757469892501831,0.7881101644965975,0.8815006817194313,0.9473463867061703,0.8242133871284077,0.8815006817194313,31052,35691,1,0
RT_LAT_UPPER_TRANS-23_6_56.jpeg,0.9953393936157227,0.9209645135342425,0.9588563526765281,0.9797997890421318,0.9387895198505015,0.9588563526765281,50247,52442,1,0
RT_LAT_UPPER_TRANS-23_6_56.jpeg,0.8869585394859314,0,0.0,0.0,0,0,36185,0,0,1
RT_LOWER_ANT_TRANS-15_50_11.png,0.8563214540481567,0.01752422125294322,0.0344448237927241,0.030627044894930348,0.039349945828819066,0.0344448237927241,29647,23075,0,1
RT_LOWER_ANT_TRANS-15_50_11.png,0.7965252995491028,0.7812041116005873,0.877164056059357,0.8016935165584299,0.9683206933911159,0.8771640560593569,27871,23075,1,0
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.959947407245636,0.3719337694194603,0.5422036802503166,0.3830705530083279,0.9275013451898841,0.5422036802503166,85496,35311,0,1
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.8641184568405151,0.6847059564286614,0.8128492142096313,0.7953847279110591,0.8310978638847492,0.8128492142096313,27344,26169,1,0
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.5546040534973145,0.7394503608623081,0.8502115122109446,0.8131851085832471,0.8907705814052278,0.8502115122109445,38680,35311,1,0
Rt_lower_ant_long-23_5_4.png,0.987407922744751,0.7667813216593704,0.8679979941594643,0.8220471561068275,0.9193901143535587,0.8679979941594643,17898,16003,1,0
Rt_lower_ant_long-23_5_4.png,0.747154951095581,0,0.0,0.0,0,0,3540,0,0,1
left_lower_post_long-23_9_45.png,0.9944325089454651,0.7360148394025188,0.8479361151726464,0.7472494796312816,0.9799818016378526,0.8479361151726464,10089,7693,1,0
left_lower_post_long-23_9_45.png,0.9938681721687317,0.7567870765088625,0.8615581098339719,0.7773680571560267,0.9661987969063306,0.861558109833972,8678,6982,1,0
left_lower_post_long-23_9_45.png,0.9464194774627686,0.804939583056699,0.8919296696829251,0.8550070521861777,0.9321851453175457,0.891929669682925,7090,6503,1,0
left_lower_post_long-23_9_45.png,0.9156614542007446,0,0.0,0.0,0,0,3383,0,0,1
left_upper_post_long-23_8_21.png,0.9881283640861511,0.7416398905152921,0.8516569866757773,0.852530779753762,0.8507849829351536,0.8516569866757773,7310,7325,1,0
left_upper_post_long-23_8_21.png,0.9842968583106995,0.6933494110008348,0.8189088518843121,0.9967995732764369,0.6948963465650274,0.8189088518843121,7499,10757,1,0
left_upper_post_long-23_8_21.png,0.8741020560264587,0,0.0,0.0,0,0,10463,0,0,1
left_upper_post_trans-23_9_3.png,0.9870391488075256,0.6773321315908066,0.8076303062869425,0.6978795852035289,0.9583421891604675,0.8076303062869424,12922,9410,1,0
left_upper_post_trans-23_9_3.png,0.9545745253562927,0.6038085816742921,0.7529683885890517,0.7377247318326031,0.7688552983782082,0.7529683885890517,6619,6351,1,0
